Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
The Dynamic Food Court Ltd,Dhanmondi,Restaurant,3.9,361,1,12 Dhanmondi Lake Rd
Aurum,Dhanmondi,Buffet,3.7,68,1,"Level 10, Imperial Amin Ahmed Centre, Road, 10/A Satmasjid Road"
Kabab Village Restaurant,Dhanmondi,Restaurant,4.1,359,1,6 Dhanmondi Lake Rd
Trump Cafe,Dhanmondi,Bangladeshi,3.7,965,2,"Plot No 60, 2nd Floor Keari Crescent Satmosjid Road 2/A Zigatola Bus Stand"
Xiamen Restaurant,Dhanmondi,Chinese,3.8,161,1,"Satmasjid Road, House No:55 A, Road No. 4A(New)  In AMM Convention Center"
D SMAAK Cafe,Dhanmondi,Restaurant,3.8,300,2,"49/A, (736) Rangs K.B Square (9th Floor) Satmasjid Road"
The Dynamic Food Court Ltd,Dhanmondi,Restaurant,3.8,87,2,"Shudha Shodon Dip, Road No-05, Dhanmondi"
TasteBlast,Dhanmondi,Restaurant,3.6,1308,2,"10th floor, Rangs KB Square, 736 Satmasjid Road"
Royal Buffet Restaurant,Dhanmondi,Buffet,3.9,1521,2,"House- 8/A, Road- 4, ( Royal Plaza), 5th Floor"
PLATINUM CLUB BD,Dhanmondi,Restaurant,3.7,1050,2,"4th floor, Keari Crescent tower, Satmasjid Road"
Sampan,Dhanmondi,Restaurant,3.9,1451,2,"Sector 1, Road No. 27 (Old Near The Lake End Restaurant"
Jing Ling Chinese Restaurant,Dhanmondi,Chinese,3.9,770,1,Dhanmondi 02
Little Asia - Gourmet Restaurant,Dhanmondi,Restaurant,3.9,445,2,46 Satmasjid Road  In RUPAYAN ZR PLAZA
Madchef Dhanmondi,Dhanmondi,Fast Food,4.3,3209,1,"Rangs KB Square, 4th Floor, House 49/A Satmasjid Road  In KB Square"
Flavours Music Cafe,Dhanmondi,Restaurant,3.6,841,3,"Level-6, Rangs KB Square, 49/A, (736, Satmasjid Road"
The Manhattan FISH MARKET Dhanmondi,Dhanmondi,Sea-food,4.3,2185,3,"754/B, Satmasjid Road"
Rustic eatery,Dhanmondi,Restaurant,4.1,147,1,"House no, 36 Rd No. 9A"
